Price,price,returns
Ticker,,
Date,,
2021-01-05,345.6836853027344,0.6887182737811637
2021-01-06,347.7503662109375,0.5978531808330079
2021-01-07,352.9170837402344,1.4857547342345123
2021-01-08,354.9278564453125,0.5697578263335501
2021-01-11,352.535400390625,-0.6740682680273502
2021-01-12,352.60980224609375,0.021104789869696994
2021-01-13,353.5594177246094,0.26931057289578675
2021-01-14,352.3211975097656,-0.35021559397639956
2021-01-15,349.75189208984375,-0.7292508762123728
2021-01-19,352.4981384277344,0.7851984220817787
2021-01-20,357.3762512207031,1.3838690935296327
2021-01-21,357.7021484375,0.09119162666340053
2021-01-22,356.4360046386719,-0.35396594746742727
2021-01-25,357.84173583984375,0.3943852985887064
2021-01-26,357.2831726074219,-0.15609225433442786
2021-01-27,348.5509948730469,-2.444049539374693
2021-01-28,351.548583984375,0.8600145044543428
2021-01-29,344.5107116699219,-2.00196292492133
2021-02-01,350.2453308105469,1.6645691835902587
2021-02-02,355.1978454589844,1.4140130396531614
2021-02-03,355.4771423339844,0.07863135392589538
2021-02-04,359.517333984375,1.1365545542151079
2021-02-05,360.9323425292969,0.3935856247152092
2021-02-08,363.5390319824219,0.7222099950528582
2021-02-09,363.2969970703125,-0.06657742107897269
2021-02-10,363.1387023925781,-0.043571700017031034
2021-02-11,363.7252502441406,0.1615217126949009
2021-02-12,365.5219421386719,0.4939695259884358
2021-02-16,365.2054138183594,-0.08659625697448048
2021-02-17,365.2891845703125,0.02293798196397745
2021-02-18,363.7345275878906,-0.4255962257000867
2021-02-19,363.0921630859375,-0.17660256402188823
2021-02-22,360.29931640625,-0.7691839603341966
2021-02-23,360.73681640625,0.12142681933560162
2021-02-24,364.7120056152344,1.101963821876062
2021-02-25,355.9240417480469,-2.409562540274224
2021-02-26,354.0899963378906,-0.5152912405547827
2021-03-01,362.6732177734375,2.42402257175216
2021-03-02,359.84320068359375,-0.7803214991220164
2021-03-03,355.0768127441406,-1.3245735727112296
2021-03-04,350.6828308105469,-1.2374736327150582
2021-03-05,357.13421630859375,1.8396639160051187
2021-03-08,355.3561096191406,-0.49788191896927847
2021-03-09,360.42974853515625,1.427761836275554
2021-03-10,362.6732177734375,0.6224428608901045
2021-03-11,366.35040283203125,1.0139113886515005
2021-03-12,366.8438415527344,0.13469037208329038
2021-03-15,369.0315246582031,0.5963526868023594
2021-03-16,368.56597900390625,-0.1261533563367112
2021-03-17,369.8228454589844,0.34101532064216844
2021-03-18,364.4420471191406,-1.4549664537802376
2021-03-19,363.7677001953125,-0.18503543407208944
2021-03-22,366.6723937988281,0.7985023414547321
2021-03-23,363.78631591796875,-0.7870998552573893
2021-03-24,361.93701171875,-0.5083490275197056
2021-03-25,363.97320556640625,0.5625823780736949
2021-03-26,369.83856201171875,1.6114802836063147
2021-03-29,369.65179443359375,-0.05049975781570293
2021-03-30,368.6711120605469,-0.2652989618377344
2021-03-31,370.16546630859375,0.4053353244019453
2021-04-01,374.16290283203125,1.079905309185425
2021-04-05,379.5333557128906,1.435324785063008
2021-04-06,379.3092041015625,-0.059059792230142794
2021-04-07,379.7481384277344,0.11571939763801442
2021-04-08,381.55072021484375,0.47467824189280083
2021-04-09,384.32464599609375,0.7270136404638583
2021-04-12,384.4647216796875,0.03644722893862973
2021-04-13,385.604248046875,0.29639295959562606
2021-04-14,384.28729248046875,-0.3415303573746309
2021-04-15,388.41552734375,1.0742574485444578
2021-04-16,389.71368408203125,0.33421854866588774
2021-04-19,387.7990417480469,-0.4912946124779549
2021-04-20,384.9598083496094,-0.7321403852983632
2021-04-21,388.602294921875,0.9461991858011443
2021-04-22,385.05316162109375,-0.9133073445937279
2021-04-23,389.2280578613281,1.084238919804692
2021-04-26,390.0405578613281,0.20874651341025174
2021-04-27,389.95654296875,-0.02154004010218591
2021-04-28,389.8444519042969,-0.028744501528243926
2021-04-29,392.32891845703125,0.6372968861294126
2021-04-30,389.7510070800781,-0.6570791128759135
2021-05-03,390.59161376953125,0.21567787489524815
2021-05-04,388.1819763183594,-0.6169199148739701
2021-05-05,388.303466796875,0.031297300216737156
2021-05-06,391.4042663574219,0.7985505733763887
2021-05-07,394.25286865234375,0.7277903027047117
2021-05-10,390.3488464355469,-0.9902330527465364
2021-05-11,386.8650817871094,-0.8924746877695067
2021-05-12,378.64599609375,-2.12453542082206
2021-05-13,383.19439697265625,1.201227776294811
2021-05-14,389.07867431640625,1.5355854339827113
2021-05-17,388.08868408203125,-0.2544447433708297
2021-05-18,384.7449035644531,-0.8616021684547115
2021-05-19,383.73626708984375,-0.26215720215262417
2021-05-20,387.8644714355469,1.0757920738142301
2021-05-21,387.5469055175781,-0.08187548521610966
2021-05-24,391.4976806640625,1.019431477902799
2021-05-25,390.6290588378906,-0.2218715126737214
2021-05-26,391.4042663574219,0.19845106296942916
2021-05-27,391.6097717285156,0.05250463236037284
2021-05-28,392.3101806640625,0.17885379429001258
2021-06-01,391.9646911621094,-0.08806539289097914
2021-06-02,392.5810546875,0.15724975725828205
2021-06-03,391.12396240234375,-0.3711570560418709
2021-06-04,394.7012023925781,0.914605172299443
2021-06-07,394.3182373046875,-0.09702658253109009
2021-06-08,394.40228271484375,0.02131410678103407
2021-06-09,393.8139343261719,-0.14917469154134277
2021-06-10,395.6445007324219,0.46483027813177813
2021-06-11,396.2983093261719,0.16525153074027354
2021-06-14,397.1856384277344,0.22390433687977662
2021-06-15,396.4571228027344,-0.18341942772247544
2021-06-16,394.2435607910156,-0.5583357907836484
2021-06-17,394.11273193359375,-0.03318477977405365
2021-06-18,388.7960510253906,-1.3490254126321766
2021-06-21,394.3619689941406,1.4315778038564764
2021-06-22,396.4703674316406,0.5346353358762546
2021-06-23,395.99249267578125,-0.12053227557838886
2021-06-24,398.3350830078125,0.5915744301620451
2021-06-25,399.74993896484375,0.3551924039298049
2021-06-28,400.555908203125,0.2016183518046999
2021-06-29,400.77142333984375,0.053804008954849714
2021-06-30,401.1087341308594,0.08416537990774131
2021-07-01,403.3294677734375,0.5536487873768481
2021-07-02,406.4123840332031,0.7643667289634726
2021-07-06,405.6720275878906,-0.18216877103135465
2021-07-07,407.1058044433594,0.3534325164083807
2021-07-08,403.78863525390625,-0.8148174634819427
2021-07-09,408.0989685058594,1.0674726516863853
2021-07-12,409.560791015625,0.3582029415849064
2021-07-13,408.16455078125,-0.3409115972533905
2021-07-14,408.773681640625,0.14923659053904803
2021-07-15,407.3775329589844,-0.34154563866175547
2021-07-16,404.1821594238281,-0.7843764755377292
2021-07-19,398.2132873535156,-1.4767777179530372
2021-07-20,403.91986083984375,1.4330444682681076
2021-07-21,407.19012451171875,0.8096318079223286
2021-07-22,408.0428161621094,0.20940872557091428
2021-07-23,412.24072265625,1.0287906876107922
