Regime,Days,Static,Adaptive,Impr%
Low Vol,250,0.303584854599794,0.20418002550747338,-32.7436720199243
Medium Vol,300,0.8714373654369961,1.1732219542128488,34.630668909235716
High Vol,202,2.198392130348365,1.8494991256284232,-15.870371800532922
